,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
185,,,,,,,,,,,,,,,,5243乙盛-KY,
186,,,,,,,,,,,,,,,,3217優群,
187,,,,,,,,,,,,,,,,2727王品,
188,,,,,,,,,,,,,,,,6223旺矽,
189,,,,,,,,,,,,,,,,3059華晶科,
190,,,,,,,,,,,,,,,,2340光磊,
191,,,,,,,,,,,,,,,,3630新鉅科,
192,,,,,,,,,,,,,,,,6120達運,
193,,,,,,,,,,,,,,,,6284佳邦,
194,,,,,,,,,,,,,,,,1560中砂,
195,,,,,,,,,,,,,,,,3090日電貿,
196,,,,,,,,,,,,,,,,5287數字,
197,,,,,,,,,,,,,,,,1589永冠-KY,
